task_id,employee_id,task_description,task_date,status
5001,102,Fix server downtime issue,2024-01-16,Completed
5002,103,Prepare financial report,2024-01-16,In Progress
5003,104,Design marketing campaign,2024-01-17,Completed
5004,105,Setup new workstations,2025-03-11,Pending
5005,101,Conduct employee training,2023-07-02,Completed
5006,106,Screen candidates,2025-03-12,In Progress
5007,107,Update payroll data,2023-12-06,Completed
6001,102,No description provided,2024-06-01,Completed
6002,103,Prepare audit files,2024-06-02,Pending
6003,104,No description provided,2024-06-03,Pending
6004,105,Install antivirus software,2024-06-04,Completed
